instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed 
17410,2017-01-19,4,2017,1,06,0,4,1,1,0.08414634146341464,0.08414634146341464,0.89,0.07328358208955224
17410,2017-01-19,4,2017,1,7,0,4,1,1,0.08414634146341464,0.08414634146341464,0.89,0.07328358208955224
17410,2017-01-19,4,2017,1,8,0,4,1,1,0.08414634146341464,0.08414634146341464,0.89,0.07328358208955224
17411,2017-01-19,4,2017,1,09,0,4,1,1,0.07268292682926829,0.07268292682926829,0.92,0.06119402985074626
17411,2017-01-19,4,2017,1,10,0,4,1,1,0.07268292682926829,0.07268292682926829,0.92,0.06119402985074626
17411,2017-01-19,4,2017,1,11,0,4,1,1,0.07268292682926829,0.07268292682926829,0.92,0.06119402985074626
17412,2017-01-19,4,2017,1,12,0,4,1,2,0.07707317073170732,0.07707317073170732,0.91,0.05313432835820896
17412,2017-01-19,4,2017,1,13,0,4,1,2,0.07707317073170732,0.07707317073170732,0.91,0.05313432835820896
17412,2017-01-19,4,2017,1,14,0,4,1,2,0.07707317073170732,0.07707317073170732,0.91,0.05313432835820896
17413,2017-01-19,4,2017,1,15,0,4,1,1,0.14536585365853658,0.14536585365853658,0.83,0.04283582089552239
17413,2017-01-19,4,2017,1,16,0,4,1,1,0.14536585365853658,0.14536585365853658,0.83,0.04283582089552239
17413,2017-01-19,4,2017,1,17,0,4,1,1,0.14536585365853658,0.14536585365853658,0.83,0.04283582089552239
17414,2017-01-19,4,2017,1,18,0,4,1,1,0.2421951219512195,0.2421951219512195,0.65,0.06447761194029851
17414,2017-01-19,4,2017,1,19,0,4,1,1,0.2421951219512195,0.2421951219512195,0.65,0.06447761194029851
17414,2017-01-19,4,2017,1,20,0,4,1,1,0.2421951219512195,0.2421951219512195,0.65,0.06447761194029851
17415,2017-01-19,4,2017,1,21,0,4,1,1,0.26146341463414635,0.26146341463414635,0.61,0.06955223880597015
17415,2017-01-19,4,2017,1,22,0,4,1,1,0.26146341463414635,0.26146341463414635,0.61,0.06955223880597015
17415,2017-01-19,4,2017,1,23,0,4,1,1,0.26146341463414635,0.26146341463414635,0.61,0.06955223880597015
